"HCPCS","DESCRIPTION"
"00352","Anesthesia for procedure on major vessel of neck, simple ligation"
"00400","Anesthesia for procedure on integumentary system, not otherwise specified"
"00402","Anesthesia for procedure on integumentary system, reconstructive breast surgery"
"00404","Anesthesia for procedure on integumentary system, radical or modified radical breast surgery"
"00406","Anesthesia for procedure on integumentary system, radical breast surgery with node dissection"
"00410","Anesthesia for procedure on integumentary system, electrical conversion of arrhythmia"
"00450","Anesthesia for procedure on clavicle and scapula, not otherwise specified"
"00454","Anesthesia for procedure on clavicle and scapula, biopsy of clavicle"
"00470","Anesthesia for partial rib resection, not otherwise specified"
"00472","Anesthesia for partial rib resection, thoracoplasty"
"00474","Anesthesia for partial rib resection, radical procedure"
"00500","Anesthesia for all procedures on esophagus"
"00520","Anesthesia for closed chest procedure, not otherwise specified"
"00522","Anesthesia for closed chest procedure, needle biopsy of pleura"
"00524","Anesthesia for closed chest procedure, pneumocentesis"
"00528","Anesthesia for closed chest procedure on mediastinum and trachea, without one-lung ventilation"
"00529","Anesthesia for closed chest procedure on mediastinum and trachea, with one-lung ventilation"
"00530","Anesthesia for permanent transvenous pacemaker insertion"
"00532","Anesthesia for access to central venous circulation"
"00534","Anesthesia for insertion or replacement of cardioverter-defibrillator"
"00537","Anesthesia for cardiac electrophysiological procedures"
"00539","Anesthesia for tracheobronchial reconstruction"
"00540","Anesthesia for thoracotomy procedure, not otherwise specified"
"00541","Anesthesia for thoracotomy procedure, one-lung ventilation"
"00542","Anesthesia for thoracotomy procedure, decortication"
"00546","Anesthesia for thoracotomy procedure, pulmonary resection"
"00548","Anesthesia for thoracotomy procedure, trachea and bronchi"
"0054T","Bone surgery, computer-assisted fluoroscopic image guidance"
"00550","Anesthesia for sternal debridement"
"0055T","Bone surgery, computer-assisted computed tomography or magnetic resonance imaging guidance"
"00560","Anesthesia for procedure on heart, without pump oxygenator"
"00561","Anesthesia for procedure on heart, with pump oxygenator, patient under 1 year of age"
"00562","Anesthesia for procedure on heart, with pump oxygenator, patient age 1 year or older"
"00563","Anesthesia for procedure on heart, with pump oxygenator, circulatory arrest"
"00566","Anesthesia for direct coronary artery bypass grafting, without pump oxygenator"
"00567","Anesthesia for direct coronary artery bypass grafting, with pump oxygenator"
"00580","Anesthesia for heart or heart/lung transplant"
"00600","Anesthesia for procedure on cervical spine and spinal cord, not otherwise specified"
"00604","Anesthesia for procedure on cervical spine and spinal cord, sitting position"
"00620","Anesthesia for procedure on thoracic spine and spinal cord, not otherwise specified"
"00625","Anesthesia for procedure on thoracic spine, without one-lung ventilation"
"00626","Anesthesia for procedure on thoracic spine, with one-lung ventilation"
"00630","Anesthesia for procedure on lumbar region, not otherwise specified"
"00632","Anesthesia for procedure on lumbar sympathectomy"
"00635","Anesthesia for diagnostic or therapeutic lumbar puncture"
"00640","Anesthesia for spine manipulation"
"00670","Anesthesia for extensive spine and spinal cord procedures"
"00700","Anesthesia for procedure on upper anterior abdominal wall, not otherwise specified"
"00702","Anesthesia for procedure on upper anterior abdominal wall, liver biopsy"
"0071T","Focused ultrasound ablation of uterine leiomyomata, total leiomyomata volume less than 200 cc"
"0072T","Focused ultrasound ablation of uterine leiomyomata, total leiomyomata volume greater than or equal to 200 cc"
"00730","Anesthesia for procedure on upper posterior abdominal wall"
"00731","Anesthesia for upper gastrointestinal endoscopic procedure, not otherwise specified"
"00732","Anesthesia for upper gastrointestinal endoscopic procedure, endoscopic retrograde cholangiopancreatography"
"00750","Anesthesia for hernia repair, upper abdomen, not otherwise specified"
"00752","Anesthesia for hernia repair, lumbar, ventral, and/or incisional dehiscence"
"00754","Anesthesia for hernia repair, omphalocele"
"00756","Anesthesia for hernia repair, diaphragmatic hernia"
"0075T","Percutaneous stent insertion, chest vertebral artery"
"0075T","Percutaneous stent, chest vertebral artery"
"0075T","Percutaneous stent, chest vertebral artery"
"0076T","Supervision and interpretation, stent, chest vertebral artery"
"0076T","Supervision and interpretation, stent, chest vertebral artery"
"0076T","Supervision and interpretation, stent, chest vertebral artery"
"00770","Anesthesia for procedure on major abdominal blood vessel"
"00790","Anesthesia for intraperitoneal procedure on upper abdomen, not otherwise specified"
"00792","Anesthesia for intraperitoneal procedure on upper abdomen, partial hepatectomy"
"00794","Anesthesia for intraperitoneal procedure on upper abdomen, pancreatectomy"
"00796","Anesthesia for intraperitoneal procedure on upper abdomen, liver transplant"
"00797","Anesthesia for intraperitoneal procedure on upper abdomen, gastric procedure for morbid obesity"
"00800","Anesthesia for procedure on lower anterior abdominal wall, not otherwise specified"
"00802","Anesthesia for procedure on lower abdominal wall, panniculectomy"
"00811","Anesthesia for lower intestinal endoscopic procedure, not otherwise specified"
"00812","Anesthesia for lower intestinal endoscopic procedure, screening colonoscopy"
"00813","Anesthesia for combined upper and lower gastrointestinal endoscopic procedures"
"00820","Anesthesia for procedure on lower posterior abdominal wall"
"00830","Anesthesia for hernia repair, lower abdomen, not otherwise specified"
"00832","Anesthesia for hernia repair, ventral and incisional"
"00834","Anesthesia for hernia repair, patient under 1 year of age"
"00836","Anesthesia for hernia repair in preterm infant, gestational age at birth less than 37 weeks and postconceptional age less than 50 weeks"
"00840","Anesthesia for intraperitoneal procedure on lower abdomen, not otherwise specified"
"00842","Anesthesia for intraperitoneal procedure, amniocentesis"
"00844","Anesthesia for intraperitoneal procedure, abdominoperineal resection"
"00846","Anesthesia for intraperitoneal procedure, radical hysterectomy"
"00848","Anesthesia for intraperitoneal procedure, pelvic exenteration"
"00851","Anesthesia for intraperitoneal procedure, tubal ligation"
"00860","Anesthesia for extraperitoneal procedure on lower abdomen, not otherwise specified"
"00862","Anesthesia for extraperitoneal procedure on lower abdomen, renal procedure"
"00864","Anesthesia for extraperitoneal procedure on lower abdomen, total cystectomy"
"00865","Anesthesia for extraperitoneal procedure on lower abdomen, prostatectomy"
"00866","Anesthesia for extraperitoneal procedure on lower abdomen, adrenalectomy"
"00868","Anesthesia for extraperitoneal procedure, renal transplant"
"00870","Anesthesia for extraperitoneal cystolithotomy"
"00872","Anesthesia for lithotripsy, extracorporeal shock wave with water bath"
"00873","Anesthesia for lithotripsy, extracorporeal shock wave without water bath"
"00880","Anesthesia for procedure on major lower abdominal vessel, not otherwise specified"
"00882","Anesthesia for procedure on major lower abdominal vessel, inferior vena cava ligation"
"00902","Anesthesia for anorectal procedure"
"00904","Anesthesia for radical perineal procedure"
"00906","Anesthesia for vulvectomy"
"00908","Anesthesia for perineal prostatectomy"
"00910","Anesthesia for transurethral procedure, not otherwise specified"
"00912","Anesthesia for transurethral procedure, resection of bladder tumor"
"00914","Anesthesia for transurethral procedure, resection of prostate"
"00916","Anesthesia for transurethral procedure, resection for control of bleeding"
"00918","Anesthesia for transurethral procedure, ureteral calculus removal"
"00920","Anesthesia for procedure on male genitalia, not otherwise specified"
"00921","Anesthesia for procedure on male genitalia, vasectomy"
"00922","Anesthesia for procedure on male genitalia, seminal vesicles"
"00924","Anesthesia for procedure on male genitalia, undescended testis"
"00926","Anesthesia for procedure on male genitalia, radical orchiectomy, inguinal"
"00928","Anesthesia for procedure on male genitalia, radical orchiectomy, abdominal"
"00930","Anesthesia for procedure on male genitalia, orchiopexy"
"00932","Anesthesia for procedure on male genitalia, complete amputation of penis"
"00934","Anesthesia for radical amputation of penis, with inguinal lymphadenectomy"
"00936","Anesthesia for radical amputation of penis, with inguinal and iliac lymphadenectomy"
"00938","Anesthesia for insertion of penile prosthesis"
"00940","Anesthesia for vaginal procedure, not otherwise specified"
"00942","Anesthesia for vaginal procedure, colpotomy, vaginectomy, or colporrhaphy"
"00944","Anesthesia for vaginal procedure, vaginal hysterectomy"
"00948","Anesthesia for vaginal procedure, cervical cerclage"
"00950","Anesthesia for vaginal procedure, culdoscopy"
"00952","Anesthesia for vaginal procedure, hysteroscopy and/or hysterosalpingography"
"0095T","Removal of artificial disc, additional cervical interspace"
"0098T","Revision of artificial disc, additional interspace"
"0100T","Prosthetic retina receiver and generator"
"0101T","Extracorporeal shock wave therapy, musculoskeletal system, not otherwise specified"
"0102T","Extracorporeal shock wave therapy, lateral humeral epicondylitis, performed with physical medicine anesthesia"
"0106T","Touch quantitative sensory test"
"0107T","Vibration quantitative sensory test"
"0108T","Cooling quantitative sensory test"
"0109T","Heat quantitative sensory test"
"0110T","Quantitative sensory test, not otherwise specified"
"01112","Anesthesia for bone marrow aspiration and/or biopsy"
"01120","Anesthesia for procedure on bony pelvis"
"01130","Anesthesia for body cast application or revision"
"01140","Anesthesia for interpelviabdominal amputation"
"01150","Anesthesia for radical procedure for tumor of pelvis"
"01160","Anesthesia for closed procedure on symphysis pubis or sacroiliac joint"
"01170","Anesthesia for open procedure on symphysis pubis or sacroiliac joint"
"01173","Anesthesia for open repair of fracture or disruption of pelvis"
"01200","Anesthesia for all closed procedures on hip joint"
"01202","Anesthesia for arthroscopic procedure on hip joint"
"01210","Anesthesia for open procedure on hip joint, not otherwise specified"
"01212","Anesthesia for open procedure on hip joint, disarticulation"
"01214","Anesthesia for open procedure, total hip arthroplasty"
"01215","Anesthesia for open revision of total hip arthroplasty"
"01220","Anesthesia for closed procedure on upper two-thirds of femur"
"01230","Anesthesia for open procedure on upper two-thirds of femur, not otherwise specified"
"01232","Anesthesia for open procedure, upper two-thirds of femur amputation"
"01234","Anesthesia for open procedure, upper two-thirds of femur radical resection"
"01250","Anesthesia for all procedures on nerves and muscles of upper leg"
"01260","Anesthesia for all procedures on veins of upper leg"
"01270","Anesthesia for procedure on arteries of upper leg, not otherwise specified"
"01272","Anesthesia for procedure on arteries, femoral artery ligation"
"01274","Anesthesia for procedure on arteries, femoral artery embolectomy"
"01320","Anesthesia for all procedures on nerves and muscles of knee and/or popliteal area"
"01340","Anesthesia for closed procedure on lower one-third of femur"
"01360","Anesthesia for open procedure on lower one-third of femur"
"01380","Anesthesia for all closed procedures on knee joint"
"01382","Anesthesia for diagnostic arthroscopic procedure on knee joint"
"01390","Anesthesia for closed procedure on upper tibia, fibula, and/or patella"
"01392","Anesthesia for open procedure on upper tibia, fibula, and/or patella"
"01400","Anesthesia for open or arthroscopic procedure on knee joint, not otherwise specified"
"01402","Anesthesia for open or arthroscopic total knee arthroplasty"
"01404","Anesthesia for open or arthroscopic disarticulation of knee"
"01420","Anesthesia for cast application, removal, or repair, knee joint"
"01430","Anesthesia for procedure on veins of knee and popliteal area, not otherwise specified"
"01432","Anesthesia for procedure on vein of knee and popliteal area, arteriovenous fistula"
"01440","Anesthesia for procedure on arteries of knee and popliteal area, not otherwise specified"
"01442","Anesthesia for procedure on arteries of knee and popliteal area, thromboendarterectomy"
"01444","Anesthesia for procedure on arteries of knee and popliteal area, excision and graft"
"01462","Anesthesia for closed procedure on lower leg, ankle, and foot"
"01464","Anesthesia for arthroscopic procedure on ankle and/or foot"
"01470","Anesthesia for procedure on nerves and muscles of lower leg, ankle, and foot, not otherwise specified"
"01472","Anesthesia for repair of ruptured Achilles tendon"
"01474","Anesthesia for gastrocnemius recession"
"01480","Anesthesia for open procedure on lower leg, ankle, and foot, not otherwise specified"
"01482","Anesthesia for open procedure on lower leg, ankle, and foot, radical resection"
"01484","Anesthesia for open procedure on lower leg, ankle, and foot, osteotomy or osteoplasty"
"01486","Anesthesia for open total ankle replacement"
"01490","Anesthesia for lower leg cast application, removal, or repair"
"01500","Anesthesia for procedure on arteries of lower leg, not otherwise specified"
"01502","Anesthesia for procedure on arteries of lower leg, embolectomy"
"01520","Anesthesia for procedure on veins of lower leg, not otherwise specified"
"01522","Anesthesia for procedure on vein of lower leg, venous thrombectomy"
"01610","Anesthesia for all procedures on nerves and muscles of shoulder and axilla"
"01620","Anesthesia for closed procedure on shoulder joint"
"01622","Anesthesia for diagnostic arthroscopic procedure on shoulder joint"
"01630","Anesthesia for open or arthroscopic procedure on shoulder joint, not otherwise specified"
"01634","Anesthesia for open or arthroscopic shoulder disarticulation"
"01636","Anesthesia for open or arthroscopic interthoracoscapular amputation"
"01638","Anesthesia for open or arthroscopic total shoulder replacement"
"0164T","Removal of total disc arthroplasty, artificial disc, each additional interspace, lumbar"
"01650","Anesthesia for procedure on arteries of shoulder and axilla, not otherwise specified"
"01652","Anesthesia for procedure on arteries of shoulder and axilla, axillary-brachial aneurysm"
"01654","Anesthesia for procedure on arteries of shoulder and axilla, bypass graft"
"01656","Anesthesia for procedure on arteries of shoulder and axilla, axillofemoral bypass graft"
"0165T","Revision of total disc arthroplasty, artificial disc, each additional interspace, lumbar"
"01670","Anesthesia for all procedures on veins of shoulder and axilla"
"01680","Anesthesia for shoulder cast application, removal, or repair"
"01710","Anesthesia for procedure on nerves and muscles of upper arm and elbow, not otherwise specified"
"01712","Anesthesia for procedure on nerves and muscles of upper arm and elbow, tenotomy"
"01714","Anesthesia for procedure on nerves and muscles of upper arm and elbow, tenoplasty"
"01716","Anesthesia for procedure on nerves and muscles of upper arm and elbow, tenodesis"
"01730","Anesthesia for closed procedure on humerus and elbow"
"01732","Anesthesia for diagnostic arthroscopic procedure on elbow joint"
"01740","Anesthesia for open or arthroscopic procedure on elbow, not otherwise specified"
"01742","Anesthesia for open or arthroscopic procedure on elbow, osteotomy"
"01744","Anesthesia for open or arthroscopic procedure on elbow, repair of humerus"
"0174T","Computer-aided detection, chest radiograph, with interpretation"
"01756","Anesthesia for open or arthroscopic procedure on elbow, radical procedure"
"01758","Anesthesia for open or arthroscopic procedure on elbow, excision of cyst"
"0175T","Computer-aided detection, chest radiograph, remote"
"01760","Anesthesia for open or arthroscopic total elbow replacement"
"01770","Anesthesia for procedure on arteries of upper arm and elbow, not otherwise specified"
"01772","Anesthesia for procedure on arteries of upper arm and elbow, embolectomy"
"01780","Anesthesia for procedure on veins of upper arm and elbow, not otherwise specified"
"01782","Anesthesia for procedure on veins of upper arm and elbow, phleborrhaphy"
"01810","Anesthesia for procedure on nerves and muscles of forearm and wrist"
"01820","Anesthesia for closed procedure on radius, ulna, wrist, or hand bones"
"01829","Anesthesia for diagnostic arthroscopic procedure on wrist"
"01830","Anesthesia for arthroscopic or endoscopic procedure on wrist or hand, not otherwise specified"
"01832","Anesthesia for arthroscopic or endoscopic total wrist replacement"
"01840","Anesthesia for procedure on arteries of forearm, wrist, and hand, not otherwise specified"
"01842","Anesthesia for procedure on arteries of forearm, wrist, and hand, embolectomy"
"01844","Anesthesia for vascular shunt or shunt revision"
"0184T","Excision of rectal tumor, endoscopic"
"01850","Anesthesia for procedure on veins of forearm, wrist, and hand, not otherwise specified"
"01852","Anesthesia for procedure on vein of forearm, phleborrhaphy"
"01860","Anesthesia for forearm, wrist, or hand cast application, removal, or repair"
"01916","Anesthesia for diagnostic arteriography or venography"
"01920","Anesthesia for cardiac catheterization"
"01922","Anesthesia for non-invasive imaging or radiation therapy"
"01924","Anesthesia for therapeutic interventional radiologic arterial procedures, not otherwise specified"
"01925","Anesthesia for therapeutic interventional radiologic arterial procedures, carotid or cerebral"
"01926","Anesthesia for therapeutic interventional radiologic procedures, intracranial, intracardiac, or aortic"
"01930","Anesthesia for therapeutic interventional radiologic venous procedures, not otherwise specified"
"01931","Anesthesia for therapeutic interventional radiologic venous procedures, intrahepatic or portal circulation"
"01932","Anesthesia for therapeutic interventional radiologic venous procedures, intrathoracic or jugular"
"01933","Anesthesia for therapeutic interventional radiologic procedures, intracranial"
"01937","Anesthesia for injection, drainage, or aspiration, cervical or thoracic"
"01938","Anesthesia for injection, drainage, or aspiration, lumbar or sacral"
"01939","Anesthesia for destruction by neurolytic agent, cervical or thoracic"
"01940","Anesthesia for destruction by neurolytic agent, lumbar or sacral"
"01941","Anesthesia for neuromodulation or intravertebral procedure, cervical or thoracic"
"01942","Anesthesia for neuromodulation or intravertebral procedure, lumbar or sacral"
"01951","Anesthesia for second- and third-degree burn, less than 4 percent total body surface area"
"01952","Anesthesia for second- and third-degree burn, 4 to 9 percent total body surface area"
"01953","Anesthesia for second- and third-degree burn, each additional 9 percent total body surface area"
"01958","Anesthesia for external cephalic version"
"01960","Anesthesia for vaginal delivery only"
"01961","Anesthesia for cesarean delivery only"
"01962","Anesthesia for urgent hysterectomy"
"01963","Anesthesia for cesarean hysterectomy"
"01965","Anesthesia for incomplete or missed abortion procedures"
"01966","Anesthesia for induced abortion procedures"
"01967","Neuraxial labor anesthesia for vaginal delivery"
"01968","Anesthesia or analgesia for cesarean delivery, neuraxial"
"01969","Anesthesia for cesarean hysterectomy following neuraxial labor anesthetic"
"0198T","Ocular blood flow measurement"
"01990","Physiological support for harvesting of organs"
"01991","Anesthesia for diagnostic or therapeutic nerve block and injection, other than prone"
"01992","Anesthesia for diagnostic or therapeutic nerve block and injection, prone position"
"01996","Daily hospital management of epidural drug administration"
"01999","Unlisted anesthesia procedure"
"0200T","Percutaneous sacral augmentation, unilateral injection"
"0201T","Percutaneous sacral augmentation, bilateral injection"
"0202T","Posterior vertebral arthroplasty, single lumbar level"
"0207T","Clearance of eyelid gland using heat"
"0208T","Audiometry, air conduction only"
"0209T","Audiometry, air and bone conduction"
"0210T","Speech audiometry threshold"
"0211T","Speech audiometry, threshold and recognition"
"0212T","Comprehensive audiometry evaluation"
"0213T","Injection, paravertebral joint with ultrasound, cervical or thoracic"
"0214T","Injection, paravertebral joint with ultrasound, cervical or thoracic"
"0215T","Injection, paravertebral joint with ultrasound, cervical or thoracic"
"0216T","Injection, paravertebral joint with ultrasound, lumbar or sacral"
"0217T","Injection, paravertebral joint with ultrasound, lumbar or sacral"
"0218T","Injection, paravertebral joint with ultrasound, lumbar or sacral"
"0219T","Placement of posterior facet implant, cervical"
"0220T","Placement of posterior facet implant, thoracic"
"0221T","Placement of posterior facet implant, lumbar"
"0222T","Placement of posterior facet implant, additional level"
"0232T","Injection, platelet-rich plasma"
"0234T","Transluminal peripheral atherectomy, renal artery"
"0235T","Transluminal peripheral atherectomy, visceral artery"
"0236T","Transluminal peripheral atherectomy, abdominal aorta"
"0237T","Transluminal peripheral atherectomy, brachiocephalic artery"
"0238T","Transluminal peripheral atherectomy, iliac artery"
"0253T","Insertion of anterior segment aqueous drainage device"
"0263T","Intramuscular bone marrow cell therapy, complete"
"0264T","Intramuscular bone marrow cell therapy, excluding harvest"
"0265T","Intramuscular bone marrow cell therapy, harvest only"
"0274T","Percutaneous laminotomy or laminectomy decompression, cervical or thoracic"
"0278T","Transcutaneous electrical modulation pain therapy"
"0308T","Insertion of ocular telescope prosthesis"
"0329T","Monitoring of intraocular pressure, 24 hours or longer, unilateral or bilateral"
"0330T","Tear film imaging, unilateral or bilateral, with interpretation and report"
"0331T","Heart sympathetic innervation imaging, planar"
"0332T","Heart sympathetic innervation imaging, planar and SPECT"
"0333T","Visual evoked potential, screening, automated acuity"
"0335T","Insertion of sinus tarsi implant"
"0338T","Transcatheter renal sympathetic denervation, unilateral"
"0339T","Transcatheter renal sympathetic denervation, bilateral"
"0342T","Therapeutic apheresis with selective high-density lipoprotein delipidization"
"0345T","Transcatheter mitral valve repair"
"0347T","Insertion of bone device for radiostereometric analysis"
"0348T","Radiostereometric analysis, spine exam"
"0349T","Radiostereometric analysis, upper extremity exam"
"0350T","Radiostereometric analysis, lower extremity exam"
"0351T","Intraoperative optical coherence tomography, breast or lymph node specimen"
"0352T","Optical coherence tomography, breast or lymph node specimen, interpretation and report per specimen"
"0353T","Intraoperative optical coherence tomography, breast surgical cavity"
"0354T","Optical coherence tomography, breast surgical cavity, interpretation and report"
"0358T","Bioelectrical impedance analysis, whole body"
"0362T","Behavior identification supporting assessment, each 15 minutes"
"0373T","Adaptive behavior treatment, each 15 minutes"
"0378T","Visual field assessment, review and report"
"0379T","Visual field assessment, technical support"
"0395T","High dose rate electronic interstitial or intracavitary brachytherapy"
"0397T","Endoscopic retrograde cholangiopancreatography with optical endomicroscopy"
"0402T","Collagen cross-linking, cornea, with pachymetry"
"0403T","Diabetes prevention standard curriculum"
"0408T","Insertion or replacement of cardiac contractility modulation system"
"0409T","Insertion or replacement of cardiac contractility modulation pulse generator"
"0410T","Insertion or replacement of cardiac contractility modulation atrial electrode"
"0411T","Insertion or replacement of cardiac contractility modulation ventricular electrode"
"0412T","Removal of cardiac contractility modulation pulse generator"
"0413T","Removal of cardiac contractility modulation transvenous electrode"
"0414T","Removal and replacement of cardiac contractility modulation pulse generator"
"0415T","Repositioning of cardiac contractility modulation transvenous electrode"
"0416T","Relocation of skin pocket, pulse generator"
"0417T","Programming device evaluation, cardiac contractility modulation system"
"0417T","Programming device evaluation, cardiac contractility modulation system"
"0417T","Programming device evaluation, cardiac contractility modulation system"
"0418T","Interrogation device evaluation, cardiac contractility modulation system"
"0418T","Interrogation device evaluation, cardiac contractility modulation system"
"0418T","Interrogation device evaluation, cardiac contractility modulation system"
"0419T","Destruction of neurofibroma, extensive"
"0420T","Destruction of neurofibroma, extensive"
"0422T","Tactile breast imaging, unilateral or bilateral"
"0437T","Implantation of synthetic reinforcement, abdominal wall"
"0439T","Myocardial contrast perfusion echocardiography"
"0440T","Ablation, percutaneous, upper extremity peripheral nerve"
"0441T","Ablation, percutaneous, lower extremity peripheral nerve"
"0442T","Ablation, percutaneous, plexus or truncal nerve"
"0443T","Real-time spectral analysis of prostate tissue"
"0444T","First placement of drug-eluting ocular insert"
"0445T","Subsequent placement of drug-eluting ocular insert"
"0446T","Insertion of implantable glucose sensor"
"0447T","Removal of implantable glucose sensor"
"0448T","Removal and insertion of implantable glucose sensor"
"0449T","Insertion of aqueous drainage device, first insertion"
"0450T","Insertion of aqueous drainage device, each additional"
"0464T","Visual evoked potential test for glaucoma"
"0469T","Retinal thickness analysis, polarized scanning, ocular screening, bilateral"
"0472T","Programming of intraocular retinal electrode array"
"0473T","Reprogramming of intraocular retinal electrode array"
"0474T","Insertion of anterior segment aqueous drainage device, with intraocular reservoir"
"0479T","Fractional ablative laser, first 100 square centimeters"
"0480T","Fractional ablative laser, each additional 100 square centimeters"
"0481T","Injection, autologous white blood cell concentrate"
"0483T","Transcatheter mitral valve implantation, percutaneous approach"
"0484T","Transcatheter mitral valve implantation, transthoracic exposure"
"0485T","Optical coherence tomography of middle ear, interpretation and report, unilateral"
"0485T","Optical coherence tomography of middle ear, interpretation and report, unilateral"
"0485T","Optical coherence tomography of middle ear, interpretation and report, unilateral"
"0486T","Optical coherence tomography of middle ear, interpretation and report, bilateral"
"0486T","Optical coherence tomography of middle ear, interpretation and report, bilateral"
"0486T","Optical coherence tomography of middle ear, interpretation and report, bilateral"
"0488T","Diabetes prevention online or electronic program"
"0489T","Regenerative cell therapy for scleroderma of the hands"
"0490T","Regenerative cell therapy for scleroderma of the hands, multiple injections"
"0494T","Preparation and cannulation of cadaveric donor lung"
"0495T","Monitoring of cadaveric donor lung, first 2 hours"
"0496T","Monitoring of cadaveric donor lung, each additional hour"
"0500F","Initial prenatal care visit"
"0501F","Prenatal flow sheet"
"0502F","Subsequent prenatal care visit"
"0503F","Postpartum care visit"
"0505F","Hemodialysis plan documented"
"0505T","Endovascular femoropopliteal arterial revascularization"
"0506T","Macular pigment optical density measurement, heterochromatic flicker photometry"
"0506T","Macular pigment optical density measurement, heterochromatic flicker photometry"
"0506T","Macular pigment optical density measurement, heterochromatic flicker photometry"
"0507F","Peritoneal dialysis plan documented"
"0507T","Near-infrared dual imaging of meibomian glands, interpretation and report"
"0507T","Near-infrared dual imaging of meibomian glands, interpretation and report"
"0507T","Near-infrared dual imaging of meibomian glands, interpretation and report"
"0509F","Urinary incontinence plan of care documented"
"0509T","Pattern electroretinography, with interpretation and report"
"0509T","Pattern electroretinography, with interpretation and report"
"0509T","Pattern electroretinography, with interpretation and report"
"0510T","Removal of sinus tarsi implant"
"0511T","Removal and reinsertion of sinus tarsi implant"
"0512T","Extracorporeal shock wave wound healing, integumentary, first wound"
"0513F","Elevated blood pressure plan of care documented"
"0513T","Extracorporeal shock wave wound healing, integumentary, each additional wound"
"0514F","Care plan for hemoglobin documented for erythropoiesis-stimulating agent patient"
"0515T","Insertion of wireless cardiac stimulator for left ventricular pacing, complete system"
"0516F","Anemia plan of care documented"
"0516T","Insertion of wireless cardiac stimulator for left ventricular pacing, electrode only"
"0517F","Glaucoma plan of care documented"
"0517T","Insertion of wireless cardiac stimulator for left ventricular pacing, transmitter and pulse generator"
"0518F","Fall plan of care documented"
"0518T","Removal of pulse generator, wireless cardiac stimulator for left ventricular pacing, battery only"
"0519F","Planned chemotherapy documented before treatment"
"0519T","Removal and replacement of pulse generator, wireless cardiac stimulator for left ventricular pacing, transmitter and pulse generator"
"0520F","Radiation dose limits documented before 3D radiation therapy"
"0520T","Removal and replacement of pulse generator, wireless cardiac stimulator for left ventricular pacing, battery only"
"0521F","Plan of care for pain documented"
"0521T","Interrogation device evaluation, wireless cardiac stimulator, in person"
"0521T","Interrogation device evaluation, wireless cardiac stimulator, in person"
"0521T","Interrogation device evaluation, wireless cardiac stimulator, in person"
"0522T","Programming device evaluation, wireless cardiac stimulator, in person"
"0522T","Programming device evaluation, wireless cardiac stimulator, in person"
"0522T","Programming device evaluation, wireless cardiac stimulator, in person"
"0523T","Intraprocedural coronary fractional flow reserve with 3D functional mapping"
"0524T","Endovascular catheter-directed chemical ablation, with imaging"
"0525F","Initial visit for episode of care"
"0525T","Insertion or replacement of complete intracardiac ischemia monitoring system"
"0526F","Subsequent visit for episode of care"
"0526T","Insertion or replacement of intracardiac ischemia monitoring system, electrode only"
"0527T","Insertion or replacement of intracardiac ischemia monitoring system, implantable monitor only"
